DATE,PORTFOLIO_VALUE,PORTFOLIO_EXPENSE,PORTFOLIO_PROFIT,PORTFOLIO_DRAWDOWN
2019-07-29,293.60553308144506,299.60553308144506,-6.0,0.0
2019-07-30,941.5354166289089,965.1578125993418,-23.622395970432876,0.0
2019-07-31,940.0472744853435,965.1578125993418,-25.11053811399836,-0.0015805482377855258
2019-08-01,946.3506815790656,965.1578125993418,-18.807131020276188,0.0
2019-08-02,935.1291327228846,965.1578125993418,-30.028679876457204,-0.011857706740863672
2019-08-05,1186.2714977332625,1231.177624185575,-44.90612645231249,0.0
2019-08-06,1176.3278181322362,1231.177624185575,-54.84980605333885,-0.008382296649651304
2019-08-07,1186.597825457372,1231.177624185575,-44.57979872820306,0.0
2019-08-08,1191.9209410301214,1231.177624185575,-39.25668315545363,0.0
2019-08-09,1192.785738687439,1231.177624185575,-38.391885498135935,0.0
2019-08-12,1184.4285902776837,1231.177624185575,-46.74903390789132,-0.0070064120811435295
2019-08-13,1445.2179019060113,1491.56088656062,-46.3429846546087,0.0
2019-08-14,1441.248503119823,1491.56088656062,-50.31238344079702,-0.002746574603700466
2019-08-15,1802.8113558161263,1858.3969003545653,-55.58554453843908,0.0
2019-08-16,1817.5413495770117,1858.3969003545653,-40.85555077755362,0.0
2019-08-19,1829.3819808973144,1858.3969003545653,-29.014919457250926,0.0
2019-08-20,1827.9015959256394,1858.3969003545653,-30.49530442892592,-0.0008092268247601646
2019-08-21,1832.360811396165,1858.3969003545653,-26.03608895840034,0.0
2019-08-22,1824.4727338316761,1858.3969003545653,-33.92416652288921,-0.004304871352535943
2019-08-23,1825.114724671048,1858.3969003545653,-33.28217568351738,-0.003954508675393408
2019-08-26,1826.7466826788605,1858.3969003545653,-31.65021767570488,-0.0030638773119290082
2019-08-27,1831.4325303126025,1858.3969003545653,-26.964370041962866,-0.0005066038728776466
2019-08-28,1837.478948164197,1858.3969003545653,-20.917952190368396,0.0
2019-08-29,1846.019927709404,1858.3969003545653,-12.376972645161231,0.0
2019-08-30,1850.1895748286147,1858.3969003545653,-8.207325525950637,0.0
2019-09-02,1857.0325164708247,1858.3969003545653,-1.3643838837406292,0.0
2019-09-03,1859.4222449605193,1858.3969003545653,1.0253446059539328,0.0
2019-09-04,1864.1978063355004,1858.3969003545653,5.800905980935113,0.0
2019-09-05,1864.5322542535923,1858.3969003545653,6.135353899026995,0.0
2019-09-06,2167.0767156326137,2160.080147901049,6.996567731564937,0.0
